,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
1970-06-10,0.6107820272445679,0.620415985584259,0.6062859892845154,0.6165630221366882,0.41033220291137695,4009326,DIS,0.6825262,0.40904986858367925,-0.0012823343276976984,0.0
1970-06-11,0.6139929890632629,0.6139929890632629,0.5921570062637329,0.6017910242080688,0.4005013406276703,3814698,DIS,0.664536,0.39494436979293823,-0.005556970834732056,0.0
1970-06-12,0.6017910242080688,0.6043599843978882,0.5870190262794495,0.6005060076713562,0.3996460437774658,4359655,DIS,0.63442385,0.36716172099113464,-0.03248432278633118,0.0
1970-06-19,0.6621620059013367,0.6672999858856201,0.6499599814414978,0.651885986328125,0.4338403344154358,3444906,DIS,0.5296336,0.40007349848747253,-0.03376683592796326,0.0
1970-06-22,0.651885986328125,0.6602360010147095,0.6435369849205017,0.6525290012359619,0.43426820635795593,2802636,DIS,0.5542531,0.4047752916812897,-0.02949291467666626,0.0
1970-06-25,0.6281229853630066,0.6441789865493774,0.6281229853630066,0.6396840214729309,0.4257197678089142,2763710,DIS,0.52531224,0.42016261816024786,-0.005557149648666326,0.0
1970-07-10,0.6062859892845154,0.6127089858055115,0.6011480093002319,0.6024330258369446,0.4009284973144531,3600608,DIS,0.44276965,0.3513469994068146,-0.04958149790763855,0.0
1970-07-13,0.6024330258369446,0.6114240288734436,0.5985789895057678,0.6011480093002319,0.40007349848747253,2393918,DIS,0.49966797,0.3504919409751892,-0.049581557512283325,0.0
1970-07-15,0.620415985584259,0.6345459818840027,0.620415985584259,0.6306920051574707,0.41973555088043213,7571009,DIS,0.5395535,0.35091912746429443,-0.0688164234161377,0.0
1970-08-10,0.5112329721450806,0.5112329721450806,0.503525972366333,0.5060949921607971,0.33681416511535645,2997263,DIS,0.5427803,0.3573306202888489,0.02051645517349243,0.0
